MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC435396,RES,CLS,1504 P St NW #B,Washington,"Washington, DC",1,1,Row/Townhouse,8/7/2019,Coldwell Banker Residential Brokerage (CBRB106),479000,20005
DCDC434434,RES,CLS,1311 13th St NW #T05,Washington,"Washington, DC",0,Jan-00,Unit/Flat/Apartment,8/28/2019,Keller Williams Realty (KWR14),280000,20005
DCDC434508,RES,CLS,1239 Vermont Ave NW #302,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/15/2019,Compass (COMPS1),475000,20005
DCDC433010,RES,CLS,1211 13th St NW #207,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/9/2019,"Washington Fine Properties ,LLC (WFP8)",601000,20005
DCDC433924,RES,CLS,1239 Vermont Ave NW #610,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/28/2019,"Long & Foster Real Estate, Inc (LNG333)",277500,20005
DCDC432124,RES,CLS,1440 Church St NW #105,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,"Long & Foster Real Estate, Inc. (LNG1)",529000,20005
DCDC432056,RES,CLS,1133 14th St NW #1006,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,8/8/2019,Green Valley Realty LLC. (GRVR1),489000,20005
DCDC432414,RES,CLS,1520 O St NW #203,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/20/2019,Keller Williams Capital Properties (KWCP1),723000,20005
DCDC431932,RES,CLS,1300 N St NW #610,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/28/2019,Compass (COMPS1),424500,20005
DCDC431078,RES,CLS,1445 Church St NW #2,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/24/2019,Compass (COMPS2),480000,20005
DCDC432302,RES,CLS,1401 Church St NW #323,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/11/2019,TTR Sotheby's International Realty (TTRS5),525370,20005
DCDC432220,RES,CLS,1420 N St NW #315,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/23/2019,Redfin Corp (REFC3),255000,20005
DCDC432084,RES,CLS,1437 Rhode Island Ave NW #601,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/23/2019,Keller Williams Realty (KWR4),625000,20005
DCDC431832,RES,CLS,1401 Church St NW #514,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/19/2019,Compass (COMPS1),899900,20005
DCDC431850,RES,CLS,1444 Church St NW #603,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/17/2019,Non Subscribing Office (NON1),645000,20005
DCDC431852,RES,CLS,1400 Church St NW #301,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/15/2019,TTR Sotheby's International Realty (TTRS5),880000,20005
DCDC431142,RES,CLS,1133 14th St NW #806,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/15/2019,Compass (COMPS1),515000,20005
DCDC431172,RES,CLS,1303 P St NW #5,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/22/2019,"Washington Fine Properties, LLC (WFP1)",702500,20005
DCDC430298,RES,CLS,1150 K St NW #309,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/11/2019,Century 21 Redwood Realty (RDWG3),575000,20005
DCDC429516,RES,CLS,1420 N St NW #611,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/30/2019,RE/MAX Advantage Realty (RMA6),227500,20005
DCDC429448,RES,CLS,1414 15th St NW #2,Washington,"Washington, DC",2,1-Jan,Unit/Flat/Apartment,7/3/2019,"RE/MAX Gateway, LLC (RMAX154)",800000,20005
DCDC429412,RES,CLS,1401 Church St NW #518,Washington,"Washington, DC",2,1-Feb,Penthouse Unit/Flat/Apartment,8/6/2019,"Long & Foster Real Estate, Inc. (LNG147)",1128000,20005
DCDC428878,RES,CLS,1245 13th St NW #906,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/15/2019,Compass (COMPS1),628500,20005
DCDC428146,RES,CLS,1441 Rhode Island Ave NW #708,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/13/2019,Compass (COMPS2),527500,20005
DCDC427622,RES,CLS,1444 Church St NW #108,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/12/2019,McWilliams/Ballard Inc. (MCWB1),631900,20005
DCDC427556,RES,CLS,1221 12th St NW #2,Washington,"Washington, DC",1,1,Row/Townhouse,6/28/2019,Compass (COMPS2),389900,20005
DCDC427344,RES,CLS,1245 13th St NW #409,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/11/2019,"Select Premium Properties, Inc (GRAN1)",399000,20005
DCDC426634,RES,CLS,1300 N St NW #609,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/29/2019,Houwzer LLC (55732),469900,20005
DCDC426742,RES,CLS,1300 13th St NW #605,Washington,"Washington, DC",3,2,Unit/Flat/Apartment,6/21/2019,"Long & Foster Real Estate, Inc. (LNG336)",945000,20005
DCDC426486,RES,CLS,1150 K St NW #708,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/3/2019,Samson Properties (SAMP14),595000,20005
DCDC426590,RES,CLS,1441 Rhode Island Ave NW #805,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/24/2019,XRealty.NET LLC (XRN1),504000,20005
DCDC426454,RES,CLS,1225 13th St NW #306,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/20/2019,"GreenLine Real Estate, LLC (GNLN1)",399000,20005
DCDC425806,RES,CLS,1239 Vermont Ave NW #805,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/7/2019,"Washington Fine Properties, LLC (WFP2)",475000,20005
DCDC425818,RES,CLS,1215 N St NW #8,Washington,"Washington, DC",2,2,Row/Townhouse,7/24/2019,Redfin Corp (REFC3),718000,20005
DCDC424670,RES,CLS,1245 13th St NW #108,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/20/2019,"Washington Fine Properties, LLC (WFP1)",499000,20005
DCDC425148,RES,CLS,1245 13th St NW #602,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/28/2019,Compass (COMPS1),579000,20005
DCDC424522,RES,CLS,1420 N St NW #408,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,6/7/2019,Realty Advantage (FXR6),480000,20005
DCDC424810,RES,CLS,1416 15th St NW,Washington,"Washington, DC",5,1-May,Row/Townhouse,7/31/2019,Coldwell Banker Residential Brokerage (CBRB106),2970000,20005
DCDC422768,RES,CLS,1300 N St NW #206,Washington,"Washington, DC",2,1-Jan,Unit/Flat/Apartment,7/10/2019,"Long & Foster Real Estate, Inc. (LNG191)",592500,20005
DCDC423610,RES,CLS,1410 12th St NW #4,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,Redfin Corp (REFC3),548000,20005
DCDC423668,RES,CLS,1520 O St NW #T4,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/18/2019,Redfin Corp (REFC3),636500,20005
DCDC423114,RES,CLS,1441 Rhode Island Ave NW #310,Washington,"Washington, DC",2,Jan-00,Unit/Flat/Apartment,6/14/2019,Compass (COMPS1),610500,20005
DCDC422256,RES,CLS,1400 Church St NW #509,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/27/2019,"Central Properties, LLC, (CTRP1)",685000,20005
DCDC422146,RES,CLS,1150 K St NW #507,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/14/2019,"Continental Properties, Ltd. (CPRE1)",435000,20005
DCDC421942,RES,CLS,1300 Massachusetts Ave NW #506,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/10/2019,Compass (COMPS3),345000,20005
DCDC421330,RES,CLS,1411 N St NW #4,Washington,"Washington, DC",2,1-Feb,Penthouse Unit/Flat/Apartment,8/9/2019,"Washington Fine Properties ,LLC (WFP8)",1350000,20005
DCDC421382,RES,CLS,1401 Church St NW #524,Washington,"Washington, DC",3,1-Feb,Unit/Flat/Apartment,6/3/2019,Compass (COMPS1),1650000,20005
DCDC413110,RES,CLS,1338 Vermont Ave NW #3,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/14/2019,"Smart Realty, LLC (CMAR1)",430000,20005
DCDC402118,RES,CLS,1300 Massachusetts Ave NW #102,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/27/2019,Compass (COMPS1),370000,20005
DCDC399982,RES,CLS,1427 Rhode Island Ave NW #201,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,7/9/2019,McWilliams/Ballard Inc. (MCWB1),1475000,20005
DCDC399548,RES,CLS,1309 P St NW #2,Washington,"Washington, DC",1,1-Jan,Unit/Flat/Apartment,6/7/2019,Compass (COMPS1),635000,20005
